0.000000000000000000e+00,4.493202495574951172e+01
1.000000000000000000e+00,3.164887428283691406e-02
2.000000000000000000e+00,2.905488014221191406e-02
3.000000000000000000e+00,2.361583709716796875e-02
4.000000000000000000e+00,3.916025161743164062e-02
5.000000000000000000e+00,5.985191106796264648e+00
6.000000000000000000e+00,8.792750835418701172e-01
7.000000000000000000e+00,3.121709823608398438e-02
8.000000000000000000e+00,1.477039813995361328e+00
9.000000000000000000e+00,2.918577194213867188e-02
1.000000000000000000e+01,8.979487419128417969e-02
1.100000000000000000e+01,9.028673171997070312e-02
1.200000000000000000e+01,3.777326107025146484e+00
1.300000000000000000e+01,3.693101406097412109e-01
1.400000000000000000e+01,1.275210380554199219e-01
1.500000000000000000e+01,9.958581924438476562e-01
1.600000000000000000e+01,2.373954057693481445e+00
1.700000000000000000e+01,1.037269115447998047e+00
1.800000000000000000e+01,2.231687068939208984e+00
1.900000000000000000e+01,9.252639055252075195e+00
2.000000000000000000e+01,6.867740154266357422e-01
2.100000000000000000e+01,7.139261007308959961e+00
2.200000000000000000e+01,4.826588630676269531e-01
2.300000000000000000e+01,2.657120227813720703e-01
2.400000000000000000e+01,2.226401376724243164e+01
2.500000000000000000e+01,2.403015518188476562e+01
2.600000000000000000e+01,1.794129133224487305e+00
2.700000000000000000e+01,5.351041412353515625e+01
2.800000000000000000e+01,3.195891857147216797e+00
2.900000000000000000e+01,1.062741279602050781e-01
3.000000000000000000e+01,7.186620235443115234e-01
3.100000000000000000e+01,7.685940980911254883e+00
3.200000000000000000e+01,1.804559230804443359e-01
3.300000000000000000e+01,3.857500553131103516e-01
3.400000000000000000e+01,5.075693130493164062e-02
3.500000000000000000e+01,9.772801399230957031e-02
3.600000000000000000e+01,6.285899877548217773e+00
3.700000000000000000e+01,8.230703115463256836e+00
3.800000000000000000e+01,2.229371070861816406e-01
3.900000000000000000e+01,1.109881401062011719e-01
4.000000000000000000e+01,2.063978195190429688e+00
4.100000000000000000e+01,1.357224941253662109e+00
4.200000000000000000e+01,2.690196037292480469e-02
4.300000000000000000e+01,1.741189956665039062e-01
4.400000000000000000e+01,2.291668891906738281e+00
4.500000000000000000e+01,3.859012126922607422e-01
4.600000000000000000e+01,1.057670116424560547e-01
4.700000000000000000e+01,1.511380672454833984e-01
4.800000000000000000e+01,2.963304519653320312e-02
4.900000000000000000e+01,5.309267783164978027e+01
